ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68007,2018,Total.population,5460,4991,NA,NA,NA,10451
68007,2018,Under.5.years,612,476,10.4,11.2,9.5,1088
68007,2018,X5.to.9.years,560,470,9.9,10.3,9.4,1030
68007,2018,X10.to.14.years,432,528,9.2,7.9,10.6,960
68007,2018,X15.to.19.years,338,261,5.7,6.2,5.2,599
68007,2018,X20.to.24.years,166,211,3.6,3,4.2,377
68007,2018,X25.to.29.years,197,223,4,3.6,4.5,420
68007,2018,X30.to.34.years,499,387,8.5,9.1,7.8,886
68007,2018,X35.to.39.years,464,401,8.3,8.5,8,865
68007,2018,X40.to.44.years,511,461,9.3,9.4,9.2,972
68007,2018,X45.to.49.years,290,406,6.7,5.3,8.1,696
68007,2018,X50.to.54.years,348,246,5.7,6.4,4.9,594
68007,2018,X55.to.59.years,232,362,5.7,4.2,7.3,594
68007,2018,X60.to.64.years,242,170,3.9,4.4,3.4,412
68007,2018,X65.to.69.years,141,131,2.6,2.6,2.6,272
68007,2018,X70.to.74.years,121,109,2.2,2.2,2.2,230
68007,2018,X75.to.79.years,95,76,1.6,1.7,1.5,171
68007,2018,X80.to.84.years,162,41,1.9,3,0.8,203
68007,2018,X85.years.and.over,50,32,0.8,0.9,0.6,82
68007,2018,Median.age..years.,34.3,34.3,NA,NA,NA,34.3
68007,2019,Total.population,6241,5917,NA,NA,NA,12158
68007,2019,Under.5.years,633,520,9.5,10.1,8.8,1153
68007,2019,X5.to.9.years,569,615,9.7,9.1,10.4,1184
68007,2019,X10.to.14.years,588,543,9.3,9.4,9.2,1131
68007,2019,X15.to.19.years,366,341,5.8,5.9,5.8,707
68007,2019,X20.to.24.years,169,209,3.1,2.7,3.5,378
68007,2019,X25.to.29.years,221,268,4,3.5,4.5,489
68007,2019,X30.to.34.years,537,430,8,8.6,7.3,967
68007,2019,X35.to.39.years,496,472,8,7.9,8,968
68007,2019,X40.to.44.years,663,534,9.8,10.6,9,1197
68007,2019,X45.to.49.years,395,429,6.8,6.3,7.3,824
68007,2019,X50.to.54.years,393,328,5.9,6.3,5.5,721
68007,2019,X55.to.59.years,340,469,6.7,5.4,7.9,809
68007,2019,X60.to.64.years,213,241,3.7,3.4,4.1,454
68007,2019,X65.to.69.years,154,123,2.3,2.5,2.1,277
68007,2019,X70.to.74.years,166,187,2.9,2.7,3.2,353
68007,2019,X75.to.79.years,136,118,2.1,2.2,2,254
68007,2019,X80.to.84.years,161,64,1.9,2.6,1.1,225
68007,2019,X85.years.and.over,41,26,0.6,0.7,0.4,67
68007,2019,Median.age..years.,35.4,35.3,NA,NA,NA,35.3
68007,2020,Total.population,6911,6353,NA,NA,NA,13264
68007,2020,Under.5.years,643,516,8.7,9.3,8.1,1159
68007,2020,X5.to.9.years,768,714,11.2,11.1,11.2,1482
68007,2020,X10.to.14.years,634,601,9.3,9.2,9.5,1235
68007,2020,X15.to.19.years,429,334,5.8,6.2,5.3,763
68007,2020,X20.to.24.years,136,244,2.9,2,3.8,380
68007,2020,X25.to.29.years,205,229,3.3,3,3.6,434
68007,2020,X30.to.34.years,647,350,7.5,9.4,5.5,997
68007,2020,X35.to.39.years,533,598,8.5,7.7,9.4,1131
68007,2020,X40.to.44.years,779,702,11.2,11.3,11,1481
68007,2020,X45.to.49.years,398,423,6.2,5.8,6.7,821
68007,2020,X50.to.54.years,396,318,5.4,5.7,5,714
68007,2020,X55.to.59.years,387,421,6.1,5.6,6.6,808
68007,2020,X60.to.64.years,239,338,4.4,3.5,5.3,577
68007,2020,X65.to.69.years,218,123,2.6,3.2,1.9,341
68007,2020,X70.to.74.years,187,250,3.3,2.7,3.9,437
68007,2020,X75.to.79.years,127,108,1.8,1.8,1.7,235
68007,2020,X80.to.84.years,144,53,1.5,2.1,0.8,197
