state,ELL_status,score_2019,score_2022,subject
Arizona,ELL,207,197,math_4
Arizona,Not ELL,240,235,math_4
California,ELL,211,211,math_4
California,Not ELL,242,237,math_4
Connecticut,ELL,217,210,math_4
Connecticut,Not ELL,246,240,math_4
District of Columbia,ELL,225,222,math_4
District of Columbia,Not ELL,236,223,math_4
Florida,ELL,224,216,math_4
Florida,Not ELL,248,244,math_4
Illinois,ELL,221,219,math_4
Illinois,Not ELL,240,242,math_4
Indiana,ELL,232,220,math_4
Indiana,Not ELL,246,241,math_4
Massachusetts,ELL,220,216,math_4
Massachusetts,Not ELL,251,246,math_4
Michigan,ELL,222,226,math_4
Michigan,Not ELL,238,233,math_4
Minnesota,ELL,219,206,math_4
Minnesota,Not ELL,253,244,math_4
Missouri,ELL,223,214,math_4
Missouri,Not ELL,239,233,math_4
New Hampshire,ELL,222,211,math_4
New Hampshire,Not ELL,246,240,math_4
New Jersey,ELL,216,213,math_4
New Jersey,Not ELL,248,242,math_4
New York,ELL,210,203,math_4
New York,Not ELL,239,230,math_4
North Carolina,ELL,226,216,math_4
North Carolina,Not ELL,243,238,math_4
North Dakota,ELL,220,216,math_4
North Dakota,Not ELL,244,241,math_4
Ohio,ELL,217,207,math_4
Ohio,Not ELL,242,239,math_4
Tennessee,ELL,210,212,math_4
Tennessee,Not ELL,242,238,math_4
Texas,ELL,233,229,math_4
Texas,Not ELL,247,242,math_4
Utah,ELL,216,211,math_4
Utah,Not ELL,247,244,math_4
Virginia,ELL,225,211,math_4
Virginia,Not ELL,250,241,math_4
Washington,ELL,212,205,math_4
Washington,Not ELL,244,240,math_4
Wisconsin,ELL,218,217,math_4
Wisconsin,Not ELL,244,242,math_4
Arizona,ELL,168,164,reading_4
Arizona,Not ELL,220,221,reading_4
California,ELL,189,187,reading_4
California,Not ELL,226,224,reading_4
Connecticut,ELL,188,190,reading_4
Connecticut,Not ELL,229,223,reading_4
District of Columbia,ELL,196,196,reading_4
District of Columbia,Not ELL,217,209,reading_4
Florida,ELL,193,197,reading_4
Florida,Not ELL,228,228,reading_4
Illinois,ELL,196,195,reading_4
