state,race,score_2019,score_2022,subject
Arizona,White,228,229,reading_4
Arizona,Black,206,205,reading_4
Arizona,Hispanic,205,205,reading_4
Arizona,Asian,NA,NA,reading_4
Arizona,American Indian/Alaska Native,196,190,reading_4
Arizona,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Arizona,Two or more races,227,NA,reading_4
California,White,234,231,reading_4
California,Black,197,194,reading_4
California,Hispanic,207,202,reading_4
California,Asian,238,244,reading_4
California,American Indian/Alaska Native,NA,NA,reading_4
California,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
California,Two or more races,233,231,reading_4
Connecticut,White,237,233,reading_4
Connecticut,Black,204,198,reading_4
Connecticut,Hispanic,204,199,reading_4
Connecticut,Asian,248,241,reading_4
Connecticut,American Indian/Alaska Native,NA,NA,reading_4
Connecticut,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Connecticut,Two or more races,231,NA,reading_4
District of Columbia,White,258,262,reading_4
District of Columbia,Black,204,193,reading_4
District of Columbia,Hispanic,213,202,reading_4
District of Columbia,Asian,NA,NA,reading_4
District of Columbia,American Indian/Alaska Native,NA,NA,reading_4
District of Columbia,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
District of Columbia,Two or more races,250,NA,reading_4
Florida,White,233,234,reading_4
Florida,Black,211,207,reading_4
Florida,Hispanic,221,222,reading_4
Florida,Asian,249,255,reading_4
Florida,American Indian/Alaska Native,NA,NA,reading_4
Florida,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Florida,Two or more races,222,232,reading_4
Illinois,White,228,228,reading_4
Illinois,Black,200,194,reading_4
Illinois,Hispanic,208,205,reading_4
Illinois,Asian,238,249,reading_4
Illinois,American Indian/Alaska Native,NA,NA,reading_4
Illinois,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Illinois,Two or more races,229,223,reading_4
Indiana,White,228,224,reading_4
Indiana,Black,200,194,reading_4
Indiana,Hispanic,211,210,reading_4
Indiana,Asian,232,NA,reading_4
Indiana,American Indian/Alaska Native,NA,NA,reading_4
Indiana,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Indiana,Two or more races,219,214,reading_4
Massachusetts,White,239,235,reading_4
Massachusetts,Black,213,207,reading_4
Massachusetts,Hispanic,212,204,reading_4
Massachusetts,Asian,245,248,reading_4
Massachusetts,American Indian/Alaska Native,NA,NA,reading_4
Massachusetts,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Massachusetts,Two or more races,253,243,reading_4
Michigan,White,224,220,reading_4
Michigan,Black,199,188,reading_4
Michigan,Hispanic,207,202,reading_4
Michigan,Asian,233,NA,reading_4
Michigan,American Indian/Alaska Native,NA,NA,reading_4
Michigan,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Michigan,Two or more races,220,215,reading_4
Minnesota,White,231,226,reading_4
Minnesota,Black,201,193,reading_4
Minnesota,Hispanic,202,197,reading_4
Minnesota,Asian,224,203,reading_4
Minnesota,American Indian/Alaska Native,194,NA,reading_4
Minnesota,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Minnesota,Two or more races,221,212,reading_4
Missouri,White,221,219,reading_4
Missouri,Black,200,186,reading_4
Missouri,Hispanic,213,210,reading_4
Missouri,Asian,NA,NA,reading_4
Missouri,American Indian/Alaska Native,NA,NA,reading_4
Missouri,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Missouri,Two or more races,222,219,reading_4
New Hampshire,White,226,224,reading_4
New Hampshire,Black,NA,NA,reading_4
New Hampshire,Hispanic,208,197,reading_4
New Hampshire,Asian,232,237,reading_4
New Hampshire,American Indian/Alaska Native,NA,NA,reading_4
New Hampshire,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
New Hampshire,Two or more races,NA,NA,reading_4
New Jersey,White,238,231,reading_4
New Jersey,Black,211,203,reading_4
New Jersey,Hispanic,213,210,reading_4
New Jersey,Asian,248,250,reading_4
New Jersey,American Indian/Alaska Native,NA,NA,reading_4
New Jersey,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
New Jersey,Two or more races,NA,229,reading_4
New York,White,229,223,reading_4
New York,Black,203,194,reading_4
New York,Hispanic,209,206,reading_4
New York,Asian,235,235,reading_4
New York,American Indian/Alaska Native,NA,NA,reading_4
New York,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
New York,Two or more races,232,NA,reading_4
North Carolina,White,232,229,reading_4
North Carolina,Black,208,198,reading_4
North Carolina,Hispanic,211,206,reading_4
North Carolina,Asian,242,242,reading_4
North Carolina,American Indian/Alaska Native,200,NA,reading_4
North Carolina,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
North Carolina,Two or more races,227,209,reading_4
North Dakota,White,226,222,reading_4
North Dakota,Black,209,189,reading_4
North Dakota,Hispanic,209,202,reading_4
North Dakota,Asian,NA,NA,reading_4
North Dakota,American Indian/Alaska Native,202,206,reading_4
North Dakota,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
North Dakota,Two or more races,NA,215,reading_4
Ohio,White,228,225,reading_4
Ohio,Black,200,190,reading_4
Ohio,Hispanic,211,195,reading_4
Ohio,Asian,245,NA,reading_4
Ohio,American Indian/Alaska Native,NA,NA,reading_4
Ohio,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Ohio,Two or more races,214,221,reading_4
Tennessee,White,227,222,reading_4
Tennessee,Black,204,193,reading_4
Tennessee,Hispanic,202,206,reading_4
Tennessee,Asian,NA,NA,reading_4
Tennessee,American Indian/Alaska Native,NA,NA,reading_4
Tennessee,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Tennessee,Two or more races,226,214,reading_4
Texas,White,232,228,reading_4
Texas,Black,205,204,reading_4
Texas,Hispanic,208,205,reading_4
Texas,Asian,247,251,reading_4
Texas,American Indian/Alaska Native,NA,NA,reading_4
Texas,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Texas,Two or more races,225,226,reading_4
Utah,White,230,228,reading_4
Utah,Black,NA,NA,reading_4
Utah,Hispanic,207,200,reading_4
Utah,Asian,NA,NA,reading_4
Utah,American Indian/Alaska Native,191,NA,reading_4
Utah,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Utah,Two or more races,226,NA,reading_4
Virginia,White,231,224,reading_4
Virginia,Black,207,195,reading_4
Virginia,Hispanic,211,194,reading_4
Virginia,Asian,244,232,reading_4
Virginia,American Indian/Alaska Native,NA,NA,reading_4
Virginia,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Virginia,Two or more races,228,226,reading_4
Washington,White,228,226,reading_4
Washington,Black,209,210,reading_4
Washington,Hispanic,202,194,reading_4
Washington,Asian,234,230,reading_4
Washington,American Indian/Alaska Native,204,NA,reading_4
Washington,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Washington,Two or more races,227,227,reading_4
Wisconsin,White,227,226,reading_4
Wisconsin,Black,188,186,reading_4
Wisconsin,Hispanic,208,202,reading_4
Wisconsin,Asian,223,219,reading_4
Wisconsin,American Indian/Alaska Native,198,NA,reading_4
Wisconsin,Native Hawaiian/Other Pacific Islander,NA,NA,reading_4
Wisconsin,Two or more races,219,218,reading_4
Arizona,White,273,269,reading_8
Arizona,Black,239,244,reading_8
Arizona,Hispanic,251,252,reading_8
Arizona,Asian,NA,287,reading_8
Arizona,American Indian/Alaska Native,240,242,reading_8
Arizona,Native Hawaiian/Other Pacific Islander,NA,NA,reading_8
Arizona,Two or more races,NA,NA,reading_8
California,White,274,269,reading_8
California,Black,236,245,reading_8
California,Hispanic,249,249,reading_8
California,Asian,284,283,reading_8
California,American Indian/Alaska Native,NA,NA,reading_8
California,Native Hawaiian/Other Pacific Islander,NA,NA,reading_8
California,Two or more races,268,276,reading_8
Connecticut,White,279,275,reading_8
Connecticut,Black,251,244,reading_8
Connecticut,Hispanic,253,247,reading_8
Connecticut,Asian,286,285,reading_8
Connecticut,American Indian/Alaska Native,NA,NA,reading_8
Connecticut,Native Hawaiian/Other Pacific Islander,NA,NA,reading_8
Connecticut,Two or more races,NA,268,reading_8
District of Columbia,White,299,296,reading_8
District of Columbia,Black,241,242,reading_8
District of Columbia,Hispanic,250,246,reading_8
District of Columbia,Asian,NA,NA,reading_8
District of Columbia,American Indian/Alaska Native,NA,NA,reading_8
District of Columbia,Native Hawaiian/Other Pacific Islander,NA,NA,reading_8
District of Columbia,Two or more races,NA,NA,reading_8
Florida,White,273,265,reading_8
Florida,Black,248,247,reading_8
Florida,Hispanic,259,260,reading_8
Florida,Asian,285,275,reading_8
Florida,American Indian/Alaska Native,NA,NA,reading_8
Florida,Native Hawaiian/Other Pacific Islander,NA,NA,reading_8
Florida,Two or more races,277,264,reading_8
Illinois,White,274,270,reading_8
