lp_id,product_name,count_state_product
95731,Google,401377
13496,Wikipedia,54873
69863,Chrome Web Store,54426
29322,Khan Academy,51944
61945,Zoom,51540
98265,Quizlet,50328
65277,TeachersPayTeachers,49492
16633,CNN Student News,49191
13699,Weebly,49146
64948,Prodigy,48865
50479,ABCya!,48276
24711,Kahoot!,48264
16164,nytimes.com,48081
15254,MIT App Inventor,47128
51340,Grammarly,47024
36692,Epic! - Unlimited Books for Kids,46956
10533,Scholastic,46218
57084,CoolMath Games,46058
72468,Microsoft Outlook,45408
47364,Canvas,44948
36620,Disney+,44776
64947,Desmos,43655
80144,Quora,43178
69429,WordPress,42945
86059,Thesaurus.com,42932
19044,Flipgrid,42869
76649,Clever,42453
43491,Duolingo,42297
76214,Quizizz,42258
16406,Google Translate,42157
30851,Google Chrome,42052
77698,Goodreads,41692
54430,Encyclopedia Britannica,41557
98845,Meet,41459
55450,Spotify: Music and podcasts,41417
65797,Google Drawings,41366
60825,Study.com,41156
88925,Google Expeditions,40821
52175,The Washington Post KidsPost,40759
55589,BrainPOP,40213
85975,Code.org,40141
97280,Newsela,40121
80616,IXL Math,40060
17941,Kids A-Z,39774
92867,Math Playground,39740
71805,Scratch,38981
41587,LinkedIn,38697
73101,Padlet,38643
16401,PBS,38385
14168,Dictionary.com,38137
35971,Edpuzzle,38035
93742,TypingClub,37286
64915,ReadWorks,36600
92844,Typing.com,36534
65358,Prezi,36497
79673,Zendesk,36290
73952,McGraw-Hill Education,36267
46123,College Board,36266
26753,Vimeo,36126
15225,Dictionary - Merriam-Webster,36123
51853,PBS Kids,35996
37479,Frontline Education,35932
49571,Education.com,35650
72713,Google Books,35619
54827,SoundCloud,35565
61384,XtraMath,35383
47267,ClassDojo,35282
86703,GoNoodle,34948
49751,SparkNotes,34708
26372,OverDrive Education,34580
48333,Google Hangouts,34528
26533,Screencastify,34461
38871,Google Workspace,34457
76122,Canva,34302
80560,Nitro Type,34034
98001,Dropbox,33532
37017,Pixlr,33319
64838,Starfall,33061
52196,BrainPOP Jr.,33015
85991,Microsoft Office 365,32893
23483,Purdue Online Writing Lab,32809
55031,Nearpod,32693
32340,Education Genius,32661
95859,Remind,32616
11206,Google Earth,32575
54110,Pandora,32513
75206,IXL,32511
94058,Course Hero,32391
58235,TedEd,32250
83862,Raz-Kids,32053
61292,YouTube,32026
83394,Yelp,32002
52615,Mystery Science,31665
59304,WeAreTeachers,31450
78818,eNotes,31340
68845,Flipgrid One,31238
92871,PowerSchool,31185
29286,Socratic,31056
45005,GitHub,31006
35201,Symbolab,30625
67035,CommonLit,30427
85682,Qualtrics,30328
57949,Mathway,30239
41424,Common App,30166
11286,ABC News,30131
14124,Tumblr,30113
86575,PBS LearningMedia,30086
88885,Lumen Learning,30056
40928,Pear Deck,30041
94324,WeVideo for Schools,29962
26696,SurveyMonkey,29845
86775,WordReference.com,29809
33562,IXL Language,29767
91030,Brainly,29645
31956,AP Central,29389
84652,CK-12,29293
62538,Bitmoji,29286
